Req ID,Req Name,Customer Rank
102,Choose Region Modal,0
143,Proceed for Payment,1
103,Home Page,2
164,Check Event,3
114,Category List,4
133,Book Ticket,5
147,Payment Timer,6
146,Payment Method,7
179,Check Sport Event,8
188,Gift Cards,9
194,Corporate,10
138,Number of Seats,11
139,Select Seats,12
127,Select Movie,13
136,Select Show Time,14
172,Book Event,15
101,URL,16
183,Register/Book Sport,17
192,Offers,18
105,Search,19
142,Select Ticket Type,20
190,E-Card category,21
157,Payment Initiation,22
152,UPI,23
112,Sign Up,24
148,Quikpay,25
187,Change Language,26
149,Credit/Debit Card,27
162,Cancel Ticket,28
158,Payment Confirmation,29
150,Netbanking,30
159,QR Code,31
199,Partner with BookMyShow,32
125,BookMyShow App,33
106,Search Results,34
128,Movie Details,35
185,Sport Ticket Confirmation,36
184,Sport Ticket details,37
168,Event Base Price,38
200,Logout,39
178,Browse Sports,40
113,Category,41
175,Event Ticket Quantity,42
166,Event Date,43
196,Brand Promotion,44
167,Event Location,45
165,Event Description,46
137,Terms and Conditions,47
174,Event Ticket Category,48
189,E- Gift Cards,49
163,Browse events,50
107,Login Button,51
156,Earn Loyalty Points,52
126,Help,53
130,View Movie Reviews,54
198,Corporate Gifting,55
141,Review Booking Summary,56
191,Physical Gift Cards,57
176,Event Ticket Review,58
160,Update Details,59
134,Corporate Booking,60
118,Best language genre movies,61
111,Continue with mobile number or email id,62
144,Share Contact Details,63
186,Get Personalized Updates,64
140,Prebook Food,65
193,Filter Offers,66
195,Corporate Discount Vouchers,67
131,Rate Movie,68
122,To do in the region,69
151,Mobile Wallets,70
129,Movie's Trending Stories,71
116,Resend Booking Confirmation,72
121,Trending Movies Reviews,73
153,Gift Vouchers,74
120,Popular movies by language,75
119,Movies by Genre,76
123,Quick book,77
104,Change Region,78
177,Event Ticket Confirmation,79
124,Archived Collection,80
145,Apply Promocode,81
154,Redeem Points,82
171,Share Event,83
173,Bulk Book Event,84
181,Sport Venue,85
135,Applicable Offers,86
180,Sport Event Description,87
197,Bulk SMS Communication,88
108,Forgot Password,89
161,Resend Confirmation,90
170,Event Terms,91
169,View Larger Map,92
115,Customer Care,93
155,Credit Vouchers,94
132,Share Movie,95
110,Continue with Google,96
182,Sport Event Date,97
117,Subscribe to Newsletters,98
109,Continue with Facebook,99